MASV1,F_MAKH,F_TENLOP,F_KHOI,F_MANG,F_TENNGVN
24348452,HC,HC16HC02,DHHCHTS16,HTS,Hóa-ThựcPhẩm-SinhHọc
71758792,DD,DD16LT09,DHDDDDT16,DDT,Điện - Điện tử
37634482,CK,CK10CK06,DHCKCKI10,CKI,Cơ khí-Cơ điện tử
29147697,CK,CK10VL,DHCKKTC10,KTC,Kỹ thuật Chế tạo
6339300,CK,CK10CK03,DHCKCKI10,CKI,Cơ khí-Cơ điện tử
48348527,CK,CK10CK01,DHCKCKI10,CKI,Cơ khí-Cơ điện tử
16379365,CK,CK10CK07,DHCKCKI10,CKI,Cơ khí-Cơ điện tử
61116844,CK,CK10CK06,DHCKCKI10,CKI,Cơ khí-Cơ điện tử
80515438,CK,CK10CK02,DHCKCKI10,CKI,Cơ khí-Cơ điện tử
25223915,CK,CK10NH,DHCKNLG10,NLG,KT Nhiệt lạnh
2243857,CK,CK10CK01,DHCKCKI10,CKI,Cơ khí-Cơ điện tử
24447003,CK,CK10CK10,DHCKCKI10,CKI,Cơ khí-Cơ điện tử
50443896,CK,CK10CK03,DHCKCKI10,CKI,Cơ khí-Cơ điện tử
75106847,CK,CK10CK07,DHCKCKI10,CKI,Cơ khí-Cơ điện tử
25965928,CK,CK10CK13,DHCKCKI10,CKI,Cơ khí-Cơ điện tử
61827363,CK,CK10HT1,DHCKKTH10,KTH,KT Hệ Thống CN
78978257,CK,CK10CK08,DHCKCKI10,CKI,Cơ khí-Cơ điện tử
83578019,CK,CK10CK03,DHCKCKI10,CKI,Cơ khí-Cơ điện tử
55758223,CK,CK10DM,DHCKDMY10,DMY,Kỹ thuật Dệt May
49126559,CK,CK11NH,DHCKNLG11,NLG,KT Nhiệt lạnh
60058301,CK,CK11CK07,DHCKCKI11,CKI,Cơ khí-Cơ điện tử
51521471,CK,CK11CK04,DHCKCKI11,CKI,Cơ khí-Cơ điện tử
52914830,CK,CK11CK09,DHCKCKI11,CKI,Cơ khí-Cơ điện tử
2173539,CK,CK11CK08,DHCKCKI11,CKI,Cơ khí-Cơ điện tử
20511914,CK,CK11CTM2,DHCKKTC11,KTC,Kỹ thuật Chế tạo
79791030,CK,CK11CK08,DHCKCKI11,CKI,Cơ khí-Cơ điện tử
21176572,CK,CK11CK13,DHCKCKI11,CKI,Cơ khí-Cơ điện tử
20483211,CK,CK11CK12,DHCKCKI11,CKI,Cơ khí-Cơ điện tử
63068534,CK,CK11CK13,DHCKCKI11,CKI,Cơ khí-Cơ điện tử
47610476,CK,CK11CK07,DHCKCKI11,CKI,Cơ khí-Cơ điện tử
92950720,CK,CK11KTK,DHCKKTK11,KTK,Kỹ thuật Thiết kế
67195659,CK,CK11CTM3,DHCKKTC11,KTC,Kỹ thuật Chế tạo
53019027,CK,CK11CK06,DHCKCKI11,CKI,Cơ khí-Cơ điện tử
48867953,CK,CK11CK01,DHCKCKI11,CKI,Cơ khí-Cơ điện tử
60662851,CK,CK11CK11,DHCKCKI11,CKI,Cơ khí-Cơ điện tử
58216021,CK,CK11CK04,DHCKCKI11,CKI,Cơ khí-Cơ điện tử
6176510,CK,CK11CK06,DHCKCKI11,CKI,Cơ khí-Cơ điện tử
65097935,CK,CK11CK12,DHCKCKI11,CKI,Cơ khí-Cơ điện tử
80988253,CK,CK11CK11,DHCKCKI11,CKI,Cơ khí-Cơ điện tử
80570182,CK,CK11CK11,DHCKCKI11,CKI,Cơ khí-Cơ điện tử
31196074,CK,CK12CK03,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
96750910,CK,CK12CK03,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
49512777,CK,CK12CK01,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
82414921,CK,CK12CK01,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
26472254,CK,CK12DM,DHCKDMY12,DMY,Kỹ thuật Dệt May
73954538,CK,CK12CK01,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
418496,CK,CK12CK03,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
28022644,CK,CK12HT1,DHCKKTH12,KTH,KT Hệ Thống CN
63222199,CK,CK12CK03,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
40155414,CK,CK12CK03,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
19235696,CK,CK12CK01,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
49496996,CK,CK12HT1,DHCKKTH12,KTH,KT Hệ Thống CN
26680391,CK,CK12HT2,DHCKKTH12,KTH,KT Hệ Thống CN
30698623,CK,CK12DM,DHCKDMY12,DMY,Kỹ thuật Dệt May
13303688,CK,CK12HT2,DHCKKTH12,KTH,KT Hệ Thống CN
47558988,CK,CK12HT2,DHCKKTH12,KTH,KT Hệ Thống CN
63432236,CK,CK12CK02,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
33851219,CK,CK12HT2,DHCKKTH12,KTH,KT Hệ Thống CN
1901203,CK,CK12DM,DHCKDMY12,DMY,Kỹ thuật Dệt May
2838126,CK,CK12CK01,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
74501008,CK,CK12CK01,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
5547638,CK,CK12CK04,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
33423230,CK,CK12CK04,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
86282753,CK,CK12CK03,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
90628540,CK,CK12CK03,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
11953240,CK,CK12CK04,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
28891109,CK,CK12CK04,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
35700848,CK,CK12CK04,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
90576676,CK,CK12CK04,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
97581888,CK,CK12HT1,DHCKKTH12,KTH,KT Hệ Thống CN
61265082,CK,CK12CK11,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
77517954,CK,CK12CK02,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
59187316,CK,CK12CK11,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
21107187,CK,CK12CK04,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
17422687,CK,CK12CK04,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
25326093,CK,CK12CK04,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
38537123,CK,CK12DM,DHCKDMY12,DMY,Kỹ thuật Dệt May
72786496,CK,CK12CK04,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
2756188,CK,CK12CK04,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
7169627,CK,CK12CK02,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
27721106,CK,CK12CK05,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
33668417,CK,CK12HT2,DHCKKTH12,KTH,KT Hệ Thống CN
81252340,CK,CK12CK05,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
58447917,CK,CK12CK03,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
73350757,CK,CK12CK05,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
33284931,CK,CK12DM,DHCKDMY12,DMY,Kỹ thuật Dệt May
45187607,CK,CK12CK05,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
64801379,CK,CK12CK02,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
9515713,CK,CK12CK05,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
58190920,CK,CK12CK05,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
36920786,CK,CK12CK05,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
4764418,CK,CK12CK02,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
72351311,CK,CK12CK05,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
58813723,CK,CK12CK12,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
50439763,CK,CK12CK05,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
39465234,CK,CK12CK12,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
25478647,CK,CK12CK05,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
44701864,CK,CK12CK05,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
73999954,CK,CK12CK05,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
18082700,CK,CK12CK05,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
35917564,CK,CK12CK06,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
96157873,CK,CK12CK02,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
27319670,CK,CK12CK06,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
19414190,CK,CK12CK06,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
10428682,CK,CK12CK08,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
56849467,CK,CK12CK12,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
63735574,CK,CK12HT1,DHCKKTH12,KTH,KT Hệ Thống CN
21518492,CK,CK12DM,DHCKDMY12,DMY,Kỹ thuật Dệt May
32004314,CK,CK12CK06,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
12832741,CK,CK12CK06,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
75938870,CK,CK12HT2,DHCKKTH12,KTH,KT Hệ Thống CN
77949982,CK,CK12CK02,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
75378715,CK,CK12CK06,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
91659271,CK,CK12CK02,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
52308153,CK,CK12CK08,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
95919202,CK,CK12CK06,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
5951180,CK,CK12CK02,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
64344107,CK,CK12CK06,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
47020039,CK,CK12CK02,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
75306149,CK,CK12DM,DHCKDMY12,DMY,Kỹ thuật Dệt May
11992138,CK,CK12CK08,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
39278319,CK,CK12CK06,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
86991420,CK,CK12CK06,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
22567799,CK,CK12CK12,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
31470120,CK,CK12HT2,DHCKKTH12,KTH,KT Hệ Thống CN
72997690,CK,CK12CK08,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
18474529,CK,CK12CK06,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
68329394,CK,CK12DM,DHCKDMY12,DMY,Kỹ thuật Dệt May
22043920,CK,CK12KTK,DHCKKTK12,KTK,Kỹ thuật Thiết kế
86511088,CK,CK12CK07,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
12360850,CK,CK12DM,DHCKDMY12,DMY,Kỹ thuật Dệt May
26933141,CK,CK12CK07,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
54350269,CK,CK12CK07,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
97518735,CK,CK12CK07,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
56443782,CK,CK12DM,DHCKDMY12,DMY,Kỹ thuật Dệt May
24468649,CK,CK12CK08,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
88346246,CK,CK12CK07,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
71925245,CK,CK12HT2,DHCKKTH12,KTH,KT Hệ Thống CN
38745577,CK,CK12CK08,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
50375255,CK,CK12CK07,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
25181870,CK,CK12CK07,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
23868082,CK,CK12CK05,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
92679853,CK,CK12DM,DHCKDMY12,DMY,Kỹ thuật Dệt May
72603354,CK,CK12CK09,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
98338619,CK,CK12HT2,DHCKKTH12,KTH,KT Hệ Thống CN
18727543,CK,CK12CK09,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
4200821,CK,CK12CK09,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
40935121,CK,CK12CK09,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
50402531,CK,CK12CK09,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
32672348,CK,CK12HT2,DHCKKTH12,KTH,KT Hệ Thống CN
69754035,CK,CK12DM,DHCKDMY12,DMY,Kỹ thuật Dệt May
56692018,CK,CK12KSTN,DHCKCTN12,CTN,Kỹ Thuật Chế Tạo(TN)
66996881,CK,CK12CK09,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
40525203,CK,CK12KSTN,DHCKCTN12,CTN,Kỹ Thuật Chế Tạo(TN)
29145246,CK,CK12CK09,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
62155777,CK,CK12CD2,DHCKCDT12,CDT,Cơ điện tử
91858193,CK,CK12CK07,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
95388445,CK,CK12DM,DHCKDMY12,DMY,Kỹ thuật Dệt May
4528118,CK,CK12CK09,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
75556783,CK,CK12CK09,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
68099461,CK,CK12CK09,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
36318757,CK,CK12CK09,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
27120528,CK,CK12CK09,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
19369840,CK,CK12CK09,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
34099539,CK,CK12CK10,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
32851563,CK,CK12CK11,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
77015148,CK,CK12CK12,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
29686592,CK,CK12DM,DHCKDMY12,DMY,Kỹ thuật Dệt May
5713147,CK,CK12CK09,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
87607298,CK,CK12CK09,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
24209405,CK,CK12DM,DHCKDMY12,DMY,Kỹ thuật Dệt May
80975768,CK,CK12CK10,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
82581068,CK,CK12CK10,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
39220167,CK,CK12CK10,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
52295827,CK,CK12CK10,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
73119321,CK,CK12CK10,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
49582916,CK,CK12HT1,DHCKKTH12,KTH,KT Hệ Thống CN
9954593,CK,CK12HT2,DHCKKTH12,KTH,KT Hệ Thống CN
83346827,CK,CK12HT2,DHCKKTH12,KTH,KT Hệ Thống CN
73295938,CK,CK12DM,DHCKDMY12,DMY,Kỹ thuật Dệt May
91588943,CK,CK12CK10,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
71240656,CK,CK12CK12,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
42766041,CK,CK12DM,DHCKDMY12,DMY,Kỹ thuật Dệt May
97242875,CK,CK12DM,DHCKDMY12,DMY,Kỹ thuật Dệt May
16980645,CK,CK12CK10,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
57246279,CK,CK12CK10,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
25282589,CK,CK12CK10,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
29297670,CK,CK12CK10,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
69475782,CK,CK12CK10,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
96762738,CK,CK12CK11,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
58383117,CK,CK12CK10,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
33946182,CK,CK12HT2,DHCKKTH12,KTH,KT Hệ Thống CN
6782003,CK,CK12CK13,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
82871061,CK,CK12CK12,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
18809248,CK,CK12CK13,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
38585087,CK,CK12CTM1,DHCKKTC12,KTC,Kỹ thuật Chế tạo
92496800,CK,CK12CK11,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
86332687,CK,CK12CK13,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
26341552,CK,CK12KTK,DHCKKTK12,KTK,Kỹ thuật Thiết kế
29269647,CK,CK12HT2,DHCKKTH12,KTH,KT Hệ Thống CN
3682584,CK,CK12DM,DHCKDMY12,DMY,Kỹ thuật Dệt May
37301650,CK,CK12DM,DHCKDMY12,DMY,Kỹ thuật Dệt May
33153191,CK,CK12CK11,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
59069006,CK,CK12CK13,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
10192088,CK,CK12CK11,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
62583710,CK,CK12CK13,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
73648095,CK,CK12CTM1,DHCKKTC12,KTC,Kỹ thuật Chế tạo
5260236,CK,CK12CK13,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
82378139,CK,CK12HT2,DHCKKTH12,KTH,KT Hệ Thống CN
51287219,CK,CK12CK13,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
31810983,CK,CK12CK13,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
26538109,CK,CK12DM,DHCKDMY12,DMY,Kỹ thuật Dệt May
32457346,CK,CK12CK13,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
38979612,CK,CK12DM,DHCKDMY12,DMY,Kỹ thuật Dệt May
80616475,CK,CK12DM,DHCKDMY12,DMY,Kỹ thuật Dệt May
60797969,CK,CK12HT2,DHCKKTH12,KTH,KT Hệ Thống CN
32000346,CK,CK12CK01,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
30284557,CK,CK12CK01,DHCKCKI12,CKI,Cơ khí-Cơ điện tử
13554857,CK,CK13CK02,DHCKCKI13,CKI,Cơ khí-Cơ điện tử
87845158,CK,CK13CK06,DHCKCKI13,CKI,Cơ khí-Cơ điện tử
75002106,CK,CK13CK02,DHCKCKI13,CKI,Cơ khí-Cơ điện tử
89819527,CK,CK13CK03,DHCKCKI13,CKI,Cơ khí-Cơ điện tử
49972978,CK,CK13CK05,DHCKCKI13,CKI,Cơ khí-Cơ điện tử
89000873,CK,CK13CK05,DHCKCKI13,CKI,Cơ khí-Cơ điện tử
86456541,CK,CK13CK08,DHCKCKI13,CKI,Cơ khí-Cơ điện tử
74219391,CK,CK13CK03,DHCKCKI13,CKI,Cơ khí-Cơ điện tử
52795415,CK,CK13DM,DHCKDMY13,DMY,Kỹ thuật Dệt May
50350395,CK,CK13CK12,DHCKCKI13,CKI,Cơ khí-Cơ điện tử
82662687,CK,CK13CK13,DHCKCKI13,CKI,Cơ khí-Cơ điện tử
44316589,BD,BD13CN04,CDBDBDC13,BDC,Bảo dưỡng CN
39574201,BD,BD13CN03,CDBDBDC13,BDC,Bảo dưỡng CN
57726289,DC,DC1003,DHDCDIA10,DIA,Địa chất-Dầu khí
63194517,DC,DC1101,DHDCDIA11,DIA,Địa chất-Dầu khí
65579839,DC,DC1101,DHDCDIA11,DIA,Địa chất-Dầu khí
29736002,DC,DC1103,DHDCDIA11,DIA,Địa chất-Dầu khí
571716,DC,DC1102,DHDCDIA11,DIA,Địa chất-Dầu khí
93482256,DC,DC1101,DHDCDIA11,DIA,Địa chất-Dầu khí
62554456,DC,DC1101,DHDCDIA11,DIA,Địa chất-Dầu khí
47665625,DC,DC1104,DHDCDIA11,DIA,Địa chất-Dầu khí
2136485,DC,DC1101,DHDCDIA11,DIA,Địa chất-Dầu khí
91207585,DC,DC1102,DHDCDIA11,DIA,Địa chất-Dầu khí
70457185,DC,DC1201,DHDCDIA12,DIA,Địa chất-Dầu khí
11414887,DC,DC1203,DHDCDIA12,DIA,Địa chất-Dầu khí
98352583,DC,DC1203,DHDCDIA12,DIA,Địa chất-Dầu khí
1575085,DC,DC1203,DHDCDIA12,DIA,Địa chất-Dầu khí
92861818,DC,DC1203,DHDCDIA12,DIA,Địa chất-Dầu khí
65474652,DC,DC1203,DHDCDIA12,DIA,Địa chất-Dầu khí
30625557,DC,DC1201,DHDCDIA12,DIA,Địa chất-Dầu khí
46334866,DC,DC1201,DHDCDIA12,DIA,Địa chất-Dầu khí
79471326,DC,DC1201,DHDCDIA12,DIA,Địa chất-Dầu khí
71595401,DC,DC1201,DHDCDIA12,DIA,Địa chất-Dầu khí
74991504,DC,DC1203,DHDCDIA12,DIA,Địa chất-Dầu khí
59883051,DC,DC1201,DHDCDIA12,DIA,Địa chất-Dầu khí
65305852,DC,DC1201,DHDCDIA12,DIA,Địa chất-Dầu khí
